연번,시도청,경찰서,관서명,구분,전화번호,도로명 주소,위도,경도,동
213,서울청,서울송파,위례,파출소,02-3402-6300,서울특별시 송파구 위례순환로 369,37.4778540602867,127.145875182176,장지동
214,서울청,서울노원,당현,지구대,02-2092-0301,서울특별시 노원구  노원로17길 64번지,37.6420207179331,127.068355620094,중계동
215,서울청,서울노원,월계,지구대,02-2092-0302,서울특별시 노원구  월계로55길 58,37.6336796200966,127.059287234129,월계동
216,서울청,서울노원,화랑,지구대,02-2092-0303,서울특별시 노원구  동일로 1034,37.6225681689702,127.074597834957,공릉동
217,서울청,서울노원,노원역,지구대,02-2092-0304,서울특별시 노원구 노원로431,37.6550055224449,127.066916404341,상계동
218,서울청,서울노원,불암,지구대,02-2092-0305,서울특별시 노원구  한글비석로 277,37.652436756043,127.077338666344,중계동
219,서울청,서울노원,마들,지구대,02-2092-0306,서울특별시 노원구  한글비석로 489 마들지구대,37.6645870330059,127.063618910994,상계동
220,서울청,서울노원,당고개,파출소,02-2092-0307,서울특별시 노원구 수락산로2길 77,37.6670283056584,127.075851789116,상계동
221,서울청,서울노원,상계1,파출소,02-2092-0308,서울특별시 노원구  동일로 1693,37.6796812226531,127.055047135943,상계동
222,서울청,서울방배,남태령,지구대,02-582-8410,서울특별시 서초구  동작대로 34,37.4795154751312,126.982171992929,방배동
223,서울청,서울방배,서래,파출소,02-534-0116,서울특별시 서초구  신반포로 16길 15-14,37.5021102658365,126.996967303365,반포동
224,서울청,서울방배,이수,파출소,02-599-3880,서울특별시 서초구  동광로19길 38,37.4941486658541,126.988846953989,방배동
225,서울청,서울방배,방배1,파출소,02-583-7694,서울특별시 서초구  효령로 31길 64,37.4839605943547,126.995340912361,방배동
226,서울청,서울은평,불광,지구대,02-350-1932,서울특별시 은평구  연서로 290,37.6214183477987,126.926581355932,불광동
227,서울청,서울은평,연신내,지구대,02-350-1936,서울특별시 은평구  갈현로 195,37.6152127182381,126.912708898719,갈현동
228,서울청,서울은평,진관,파출소,02-350-1930,서울특별시 은평구  진관3로 38 진관파출소,37.6399452531738,126.920899644798,진관동
229,서울청,서울은평,대조,파출소,02-350-1938,서울특별시 은평구  통일로 737,37.6111463910781,126.928984363331,대조동
230,서울청,서울도봉,창동,지구대,02-2289-9813,서울특별시 도봉구 노해로 392,37.6522871533292,127.051715013765,창동
231,서울청,서울도봉,신창,파출소,02-2289-9823,서울특별시 도봉구  도봉로104길 49-5,37.6435195429165,127.034616372573,창동
232,서울청,서울도봉,방학,파출소,02-2289-9833,서울특별시 도봉구  도봉로145길 45 방학파출소,37.6645033394704,127.040015484734,방학동
233,서울청,서울도봉,신방학,파출소,02-2289-9843,서울특별시 도봉구  시루봉로5길 10,37.6585099720895,127.02718505544,방학동
234,서울청,서울도봉,도봉1,파출소,02-2289-9853,서울특별시 도봉구  도봉로169길 43 도봉1파출소,No results,No results,
235,서울청,서울도봉,도봉2,파출소,02-2289-9863,서울특별시 도봉구 도봉로 180나길 33,37.6839933331141,127.049278285409,도봉동
236,서울청,서울도봉,쌍문,파출소,02-2289-9873,서울특별시 도봉구  방학로3길 132,37.6575955499116,127.038002354359,쌍문동
237,서울청,서울도봉,숭미,파출소,02-2289-9883,서울특별시 도봉구  노해로 139 숭미파출소,37.6475127555581,127.025582768186,쌍문동
238,서울청,서울수서,도곡,지구대,02-568-2522,서울특별시 강남구  언주로 426,37.5013327562925,127.043717717768,역삼동
239,서울청,서울수서,대치,지구대,02-538-1312,서울특별시 강남구  삼성로 203,37.494873946034,127.062617624125,대치동
240,서울청,서울수서,수서,파출소,02-445-0112,서울특별시 강남구  밤고개로1길 48,37.489127606674,127.104813214036,수서동
241,서울청,서울수서,대왕,파출소,02-3411-0323,서울특별시 강남구  헌릉로 623,37.4651760424395,127.10736243987,세곡동
242,서울청,서울수서,일원,지구대,02-3411-0112,서울특별시 강남구  일원로3길 35 일원파출소,37.4924161491256,127.083373556556,일원동
243,서울청,서울수서,개포,지구대,02-571-0112,서울특별시 강남구  개포로 261(1268),37.4797783863169,127.051167625269,개포동
